[run,subrun,event,newhaspi0]
[17360,73,3694,1.0]
[17360,73,3699,1.0]
[17360,52,2622,1.0]
[17360,52,2627,1.0]
[17360,52,2634,1.0]
[17360,52,2649,1.0]
[17360,59,2967,1.0]
[17360,63,3185,1.0]
[17360,67,3351,1.0]
[17360,96,4810,1.0]
[17360,96,4831,1.0]
[17360,113,5668,1.0]
[14551,286,14324,1.0]
[17360,3,171,1.0]
[17360,3,175,1.0]
[17360,21,1090,1.0]
[17360,64,3223,1.0]
[17360,9,467,1.0]
[17360,33,1669,1.0]
[17360,33,1696,1.0]
[17360,71,3587,1.0]
[17360,84,4231,1.0]
[17360,84,4232,1.0]
[17360,19,967,1.0]
[17360,19,976,1.0]
[17360,19,991,1.0]
[17360,30,1550,1.0]
[17360,65,3252,1.0]
[17360,65,3286,1.0]
[17360,75,3755,1.0]
[17360,75,3779,1.0]
[17360,87,4370,1.0]
[17360,87,4386,1.0]
[17360,87,4399,1.0]
[17360,72,3601,1.0]
[17360,72,3612,1.0]
[17360,72,3622,1.0]
[17360,80,4020,1.0]
[17360,80,4029,1.0]
[17360,80,4039,1.0]
[17360,56,2819,1.0]
[17360,56,2844,1.0]
[17360,92,4641,1.0]
[17360,92,4650,1.0]
[17360,104,5241,1.0]
[17360,105,5282,1.0]
[17360,23,1180,1.0]
[17360,68,3442,1.0]
[17360,107,5376,1.0]
[17360,0,4,1.0]
[17360,0,18,1.0]
[17360,0,20,1.0]
[17360,0,41,1.0]
[17360,60,3031,1.0]
[17360,60,3037,1.0]
[17360,82,4108,1.0]
[17360,82,4131,1.0]
[17360,78,3929,1.0]
[17360,78,3933,1.0]
[17360,103,5153,1.0]
[17361,11,555,1.0]
[17361,11,574,1.0]
[17361,150,7510,1.0]
[17361,150,7541,1.0]
[17361,274,13717,1.0]
[17361,274,13724,1.0]
[17361,344,17243,1.0]
[17361,204,10203,1.0]
[17361,204,10213,1.0]
[17361,204,10248,1.0]
[17361,204,10250,1.0]
[17361,288,14409,1.0]
[17361,288,14414,1.0]
[17361,288,14416,1.0]
[17361,288,14434,1.0]
[17361,350,17533,1.0]
[17361,367,18367,1.0]
[14551,296,14811,1.0]
[14551,307,15358,1.0]
[14551,308,15424,1.0]
[17361,203,10165,1.0]
[17361,203,10196,1.0]
[17361,203,10200,1.0]
[17361,240,12010,1.0]
[17361,240,12043,1.0]
[17361,241,12065,1.0]
[17361,241,12089,1.0]
[17361,304,15233,1.0]
[17361,317,15867,1.0]
[17361,19,963,1.0]
[17361,19,989,1.0]
[17361,19,991,1.0]
[17361,82,4120,1.0]
[17361,82,4135,1.0]
[17361,99,4951,1.0]
[17361,99,4961,1.0]
[17361,99,4997,1.0]
[17361,99,5000,1.0]
[17361,323,16181,1.0]
[17361,323,16192,1.0]
[17361,5,270,1.0]
[17361,34,1710,1.0]
[17361,217,10895,1.0]
[17361,276,13821,1.0]
[17361,45,2282,1.0]
[17361,45,2300,1.0]
[17361,127,6357,1.0]
[17361,127,6397,1.0]
[17361,199,9955,1.0]
[17361,199,9962,1.0]
[17361,199,9966,1.0]
[17361,199,9989,1.0]
[17361,256,12818,1.0]
[17361,194,9718,1.0]
[17361,194,9735,1.0]
